tempo_ns,elevador,evento,andar,estado,pronto
39965,E3,ATENDIMENTO,1,2,1
39985,E2,ESTADO,7,1,0
39985,E3,ESTADO,1,1,0
40255,E1,MOVIMENTO,10,2,0
40385,E2,MOVIMENTO,8,1,0
40385,E3,MOVIMENTO,2,1,0
40835,E1,ATENDIMENTO,10,2,1
40855,E1,ESTADO,10,1,0
40965,E2,ATENDIMENTO,8,1,1
40965,E3,ATENDIMENTO,2,1,1
40985,E2,ESTADO,8,2,0
40985,E3,ESTADO,2,2,0
41255,E1,MOVIMENTO,11,1,0
41385,E2,MOVIMENTO,7,2,0
41385,E3,MOVIMENTO,1,2,0
41965,E2,ATENDIMENTO,7,2,1
41965,E3,ATENDIMENTO,1,2,1
41985,E2,ESTADO,7,1,0
41985,E3,ESTADO,1,1,0
42255,E1,MOVIMENTO,12,1,0
42385,E2,MOVIMENTO,8,1,0
42385,E3,MOVIMENTO,2,1,0
42965,E2,ATENDIMENTO,8,1,1
42965,E3,ATENDIMENTO,2,1,1
42985,E2,ESTADO,8,2,0
42985,E3,ESTADO,2,2,0
43255,E1,MOVIMENTO,13,1,0
43385,E2,MOVIMENTO,7,2,0
43385,E3,MOVIMENTO,1,2,0
43965,E2,ATENDIMENTO,7,2,1
43965,E3,ATENDIMENTO,1,2,1
43985,E2,ESTADO,7,1,0
43985,E3,ESTADO,1,1,0
44255,E1,MOVIMENTO,14,1,0
44385,E2,MOVIMENTO,8,1,0
44385,E3,MOVIMENTO,2,1,0
44965,E2,ATENDIMENTO,8,1,1
44965,E3,ATENDIMENTO,2,1,1
44985,E2,ESTADO,8,2,0
44985,E3,ESTADO,2,2,0
45255,E1,MOVIMENTO,15,1,0
45385,E2,MOVIMENTO,7,2,0
45385,E3,MOVIMENTO,1,2,0
45835,E1,ATENDIMENTO,15,1,1
45855,E1,ESTADO,15,2,0
45965,E2,ATENDIMENTO,7,2,1
45965,E3,ATENDIMENTO,1,2,1
45985,E2,ESTADO,7,1,0
45985,E3,ESTADO,1,1,0
46255,E1,MOVIMENTO,14,2,0
46385,E2,MOVIMENTO,8,1,0
46385,E3,MOVIMENTO,2,1,0
46965,E2,ATENDIMENTO,8,1,1
46965,E3,ATENDIMENTO,2,1,1
46985,E2,ESTADO,8,2,0
46985,E3,ESTADO,2,2,0
47255,E1,MOVIMENTO,13,2,0
47385,E2,MOVIMENTO,7,2,0
47385,E3,MOVIMENTO,1,2,0
47965,E3,ATENDIMENTO,1,2,1
47985,E3,ESTADO,1,1,0
48255,E1,MOVIMENTO,12,2,0
48385,E2,MOVIMENTO,6,2,0
48385,E3,MOVIMENTO,2,1,0
48965,E3,ATENDIMENTO,2,1,1
48985,E3,ESTADO,2,2,0
49255,E1,MOVIMENTO,11,2,0
49385,E2,MOVIMENTO,5,2,0
49385,E3,MOVIMENTO,1,2,0
49965,E3,ATENDIMENTO,1,2,1
49985,E3,ESTADO,1,1,0
50255,E1,MOVIMENTO,10,2,0
50385,E2,MOVIMENTO,4,2,0
50385,E3,MOVIMENTO,2,1,0
50835,E1,ATENDIMENTO,10,2,1
50855,E1,ESTADO,10,1,0
50965,E3,ATENDIMENTO,2,1,1
50985,E3,ESTADO,2,2,0
51255,E1,MOVIMENTO,11,1,0
51385,E2,MOVIMENTO,3,2,0
51385,E3,MOVIMENTO,1,2,0
51835,E1,ATENDIMENTO,11,1,1
51965,E3,ATENDIMENTO,1,2,1
51985,E3,ESTADO,1,1,0
52255,E1,MOVIMENTO,12,1,0
52385,E2,MOVIMENTO,2,2,0
52385,E3,MOVIMENTO,2,1,0
52835,E1,ATENDIMENTO,12,1,1
52965,E2,ATENDIMENTO,2,2,1
52965,E3,ATENDIMENTO,2,1,1
52985,E3,ESTADO,2,2,0
53255,E1,MOVIMENTO,13,1,0
53385,E2,MOVIMENTO,1,2,0
53385,E3,MOVIMENTO,1,2,0
53425,E2,ESTADO,1,1,0
53835,E1,ATENDIMENTO,13,1,1
53965,E3,ATENDIMENTO,1,2,1
53985,E3,ESTADO,1,1,0
54255,E1,MOVIMENTO,14,1,0
54385,E2,MOVIMENTO,2,1,0
54385,E3,MOVIMENTO,2,1,0
54835,E1,ATENDIMENTO,14,1,1
54965,E2,ATENDIMENTO,2,1,1
54965,E3,ATENDIMENTO,2,1,1
54985,E2,ESTADO,2,2,0
55255,E1,MOVIMENTO,15,1,0
55385,E2,MOVIMENTO,1,2,0
55385,E3,MOVIMENTO,3,1,0
55835,E1,ATENDIMENTO,15,1,1
55855,E1,ESTADO,15,2,0
55965,E2,ATENDIMENTO,1,2,1
55985,E2,ESTADO,1,1,0
56255,E1,MOVIMENTO,14,2,0
56385,E2,MOVIMENTO,2,1,0
56385,E3,MOVIMENTO,4,1,0
56835,E1,ATENDIMENTO,14,2,1
56965,E2,ATENDIMENTO,2,1,1
56985,E2,ESTADO,2,2,0
57255,E1,MOVIMENTO,13,2,0
57385,E2,MOVIMENTO,1,2,0
57385,E3,MOVIMENTO,5,1,0
57835,E1,ATENDIMENTO,13,2,1
57965,E2,ATENDIMENTO,1,2,1
57965,E3,ATENDIMENTO,5,1,1
57985,E2,ESTADO,1,1,0
58255,E1,MOVIMENTO,12,2,0
58385,E2,MOVIMENTO,2,1,0
58385,E3,MOVIMENTO,6,1,0
58425,E3,ESTADO,6,2,0
58835,E1,ATENDIMENTO,12,2,1
58965,E2,ATENDIMENTO,2,1,1
58985,E2,ESTADO,2,2,0
59255,E1,MOVIMENTO,11,2,0
59385,E2,MOVIMENTO,1,2,0
59385,E3,MOVIMENTO,5,2,0
59835,E1,ATENDIMENTO,11,2,1
59965,E2,ATENDIMENTO,1,2,1
59965,E3,ATENDIMENTO,5,2,1
59985,E2,ESTADO,1,1,0
60255,E1,MOVIMENTO,10,2,0
60385,E2,MOVIMENTO,2,1,0
60385,E3,MOVIMENTO,4,2,0
60835,E1,ATENDIMENTO,10,2,1
60855,E1,ESTADO,10,1,0
60965,E2,ATENDIMENTO,2,1,1
60985,E2,ESTADO,2,2,0
61255,E1,MOVIMENTO,11,1,0
61385,E2,MOVIMENTO,1,2,0
61385,E3,MOVIMENTO,3,2,0
61835,E1,ATENDIMENTO,11,1,1
61965,E2,ATENDIMENTO,1,2,1
61985,E2,ESTADO,1,1,0
62255,E1,MOVIMENTO,12,1,0
62385,E2,MOVIMENTO,2,1,0
62385,E3,MOVIMENTO,2,2,0
62835,E1,ATENDIMENTO,12,1,1
62965,E2,ATENDIMENTO,2,1,1
62985,E2,ESTADO,2,2,0
63255,E1,MOVIMENTO,13,1,0
63385,E2,MOVIMENTO,1,2,0
63385,E3,MOVIMENTO,1,2,0
63835,E1,ATENDIMENTO,13,1,1
63965,E2,ATENDIMENTO,1,2,1
63965,E3,ATENDIMENTO,1,2,1
63985,E2,ESTADO,1,1,0
64255,E1,MOVIMENTO,14,1,0
64385,E2,MOVIMENTO,2,1,0
64385,E3,MOVIMENTO,0,2,0
64425,E3,ESTADO,0,1,0
64835,E1,ATENDIMENTO,14,1,1
64965,E2,ATENDIMENTO,2,1,1
64985,E2,ESTADO,2,2,0
65255,E1,MOVIMENTO,15,1,0
65385,E2,MOVIMENTO,1,2,0
65385,E3,MOVIMENTO,1,1,0
65835,E1,ATENDIMENTO,15,1,1
65855,E1,ESTADO,15,2,0
65965,E2,ATENDIMENTO,1,2,1
65965,E3,ATENDIMENTO,1,1,1
65985,E2,ESTADO,1,1,0
66255,E1,MOVIMENTO,14,2,0
66385,E2,MOVIMENTO,2,1,0
